business_Name,zip,license_description
Enemy Kitchen,60659,Mobile Food Dispenser
Fresh Off The Grill,60608,Mobile Food License
Loop Juice,60661,Mobile Food License
The Alexander Beetle Bakeshop Llc,60647,Mobile Food Dispenser
Bruges Brothers,60612,Mobile Food License
Falco's Pizza,60632,Mobile Food Dispenser
Harold's Chicken,60608,Mobile Food License
B.H. Lunch Catering Inc.,60609,Mobile Food License
Royal Cupcakes & Bakes,60612,Mobile Food License
Da Lobsta,60661,Mobile Food License
Doughnut Vault,60654,Mobile Food License
The Original Soul Vegetarian,60619,Mobile Food License
Maria V. Trujillo,60644,Mobile Food License
La Adelita,60608,Mobile Food License
Chicago Cupcake,60612,Mobile Food License
The Roost,60614,Mobile Food License
Mr Hulk Ice Cream Company,60644,Mobile Food License
Latitude20 Llc,60647,Mobile Food License
The Salsa Truck,60612,Mobile Food License
Duck N' Roll,60657,Mobile Food Dispenser
Da Lobsta French Market,,Mobile Food License
Five Squared Food Truck,60608,Mobile Food License
Firecakes Truck,60654,Mobile Food License
Potbelly Sandwich Works,60608,Mobile Food License
Misericordia Bakery/Misericordia Hearts And Flour Mfv,60660,Mobile Food License
Giordano's Of Rush,60611,Mobile Food License
Bridgeport Pasty Llc,60608,Mobile Food License
Linda's Magic Brownies,60657,Mobile Food License
King Con Ice Cream,60644,Mobile Food Dispenser
Kyoto Black,60660,Mobile Food License
I Heart Hummus,60612,Mobile Food License
Alberto's Pizza,60626,Mobile Food License
Pleasant House Bakery,60608,Mobile Food License
Sushi Truck,60608,Mobile Food License
The Curry Cruiser,60647,Mobile Food Dispenser
Gobble Doggs Llc,60612,Mobile Food License
Chicago's Finest Deli On Wheels,60612,Mobile Food License
Extreme Bounce House Inflatables,60612,Mobile Food License
Ice Cubed Llc,60640,Mobile Food Dispenser
Flamingo Rum Club,60608,Mobile Food License
El Ranchito Tacos,60608,Mobile Food License
Up Market: Fresh By Walgreens,60608,Mobile Food License
Nikki Rae's Food Truck,60608,Mobile Food License
Perk Up Inc.,60608,Mobile Food License
Tamales Emma La Chaparrita,60623,Mobile Food License
The Big Shish,60608,Mobile Food License
Esther's Ice Cream,60644,Mobile Food License
The Art Of Chicken,60608,Mobile Food License
Dragon Bites,60608,Mobile Food License
Barbecue Boss Inc.,60612,Mobile Food License
Della D's Soul Kitchen Llc,60608,Mobile Food License
Paciugo Chicago,60625,Mobile Food License
The Meatloaf Bakery,60614,Mobile Food License
Isai F. Pagaza,60617,Mobile Food License
Stans Donuts,60657,Mobile Food License
Paleteria Los Magos,60608,Mobile Food License
Model Chef Llc,60608,Mobile Food License
Jeni's Splendid Ice Cream,60657,Mobile Food License
Lawrence's Fish & Shrimp,60608,Mobile Food License
Helados Angie,60608,Mobile Food License
Jerk Taco Man,60608,Mobile Food License
Pierogi Squad,60634,Mobile Food License
Patty Wagon,60608,Mobile Food License
The Eastman Egg Company,60608,Mobile Food License
Real Taste Of Chicago,60612,Mobile Food License
Udis Snack Shop Inc.,60608,Mobile Food License
Open Kitchens,60608,Mobile Food Dispenser
Jack's Fork In The Road,60608,Mobile Food License
Tazacos Gourmet Tacos,60608,Mobile Food License
El Bueno Tacos,60608,Mobile Food License
Mama Green's Gourmet Goodies,60612,Mobile Food Dispenser
Chicago Schnitzel King,60612,Mobile Food License
Alfredo Mejia,60618,Mobile Food License
Growing Power Inc.,60621,Mobile Food License
Chitown Chow Down,60612,Mobile Food License
Pierogi Street,60612,Mobile Food License
Chicagos Finest,60612,Mobile Food License
Chesa's Gluten Free,60608,Mobile Food License
Smoke Daddy,60608,Mobile Food License
